# observed, predict
38.0000,34.0589
32.0000,28.3501
32.0000,28.5890
32.0000,28.6503
41.0000,37.6744
37.0000,32.8343
32.0000,28.7687
33.0000,29.7394
27.0000,25.4976
21.0000,20.7747
28.0000,25.9272
37.0000,34.5181
27.0000,27.0848
33.0000,31.6707
29.0000,29.0571
46.0000,45.2393
28.0000,29.3882
34.0000,33.4213
35.0000,33.8362
35.0000,34.3568
37.0000,37.3563
46.0000,46.1682
41.0000,39.8573
43.0000,41.9262
43.0000,42.0522
43.0000,42.4477
42.0000,41.5651
39.0000,37.9688
43.0000,41.4402
40.0000,37.8236
39.0000,36.7154
30.0000,29.2652
24.0000,24.9318
8.0000,16.2083
16.0000,16.7147
17.0000,18.2716
16.0000,18.3126
13.0000,16.6772
14.0000,16.1797
14.0000,16.3721
18.0000,19.0178
12.0000,16.3541
21.0000,21.2983
16.0000,19.4630
12.0000,16.3210
8.0000,12.8323
10.0000,12.4225
10.0000,12.5633
10.0000,12.6789
11.0000,13.2950
13.0000,14.6714
13.0000,14.8671
12.0000,14.0109
11.0000,12.8180
7.0000,9.9983
